"","opt","ins","net.wrth"
"788","noadpt",0,826049.914637322
"789","noadpt",1,703485.201529259
"790","noadpt",0,694983.59684805
"791","noadpt",1,763555.156316286
"792","noadpt",0,751457.975174727
"793","noadpt",1,696176.915405025
"794","noadpt",0,690796.275508481
"795","noadpt",1,771109.011252409
"796","noadpt",0,664779.003338193
"797","noadpt",1,686985.30093183
"798","noadpt",0,685643.171777129
"799","noadpt",1,692658.599049777
"800","noadpt",0,679485.728580517
"801","noadpt",1,726839.240159515
"802","noadpt",0,719528.334342972
"803","noadpt",1,781521.824562569
"804","noadpt",0,766805.050933618
"805","noadpt",1,707461.668628299
"806","noadpt",0,698903.068459784
"807","noadpt",1,729700.461128734
"808","noadpt",0,712859.64625358
"809","noadpt",1,766484.520270094
"810","noadpt",0,749666.805427564
"811","noadpt",1,762586.960069521
"812","noadpt",0,700932.031586051
"813","noadpt",1,836487.430089785
"814","noadpt",0,828919.473040528
"815","noadpt",1,688172.078887664
"816","noadpt",0,685643.171777129
"817","noadpt",1,715065.951222652
"818","noadpt",0,685834.312160322
"819","noadpt",1,678503.234634052
"820","noadpt",0,673506.463989792
